-n10000,,,,,,,Numbers are all requests/second,,,,,,,,,,,,,
,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2,,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2,,,ft-popcorn (rep),ft-popcorn (det),Linux,slowdown,slowdown 2
-c2,,,,,(rep),(det),-c16,,,,,(rep),(det),-c64,,,,,(rep),(det)
,PING_INLINE,14556.04,10799.14,16977.93,,,,PING_INLINE,25906.73,17094.02,37037.04,,,,PING_INLINE,27855.15,19801.98,39215.69,,
,,14044.94,10787.49,18416.21,,,,,24271.84,19083.97,39370.08,,,,,27100.27,19379.85,39215.69,,
,,13175.23,10964.91,18416.21,,,,,23980.82,19342.36,37174.72,,,,,26246.72,19193.86,40000,,
,,14492.75,10638.3,19920.32,,,,,25445.29,18382.35,37453.18,,,,,27855.15,19011.41,40322.58,,
,,16077.17,12658.23,18348.62,,,,,26385.22,18484.29,37593.98,,,,,27247.96,20120.72,40650.41,,
average,,14469.226,11169.614,18415.858,0.2143061703,0.3934784901,average,,25197.98,18477.398,37725.8,0.3320756617,0.5102185242,average,,27261.05,19501.564,39880.874,0.3164379998,0.5110045983
,,,,,,,,,,,,,,,,,,,,
,PING_BULK,15723.27,13333.33,18484.29,,,,PING_BULK,30211.48,23419.21,38167.94,,,,PING_BULK,30211.48,24937.66,40983.61,,
,,15923.57,12269.94,20491.8,,,,,30120.48,25380.71,42735.04,,,,,30395.14,27548.21,41493.78,,
,,15479.88,13422.82,18281.54,,,,,30120.48,26315.79,38167.94,,,,,32258.06,24937.66,43103.45,,
,,15082.96,12500,18450.19,,,,,29585.8,22883.29,39840.64,,,,,30303.03,24813.9,42016.8,,
,,15723.27,13422.82,17241.38,,,,,30030.03,22935.78,39062.5,,,,,30211.48,25062.66,41841,,
average,,15586.59,12989.782,18589.84,0.1615533001,0.301242937,average,,30013.654,24186.956,39594.812,0.2419801362,0.3891382538,average,,30675.838,25460.018,41887.728,0.2676652694,0.3921843171
,,,,,,,,,,,,,,,,,,,,
,SET,16339.87,12360.94,18518.52,,,,SET,29498.53,22727.27,37313.43,,,,SET,31055.9,25000,39370.08,,
